Key:2015-01-09 13:00:00 {'diffuse_radiation': 77.0, 'direct_normal_radiation': 363.0}
Key:2015-01-09 14:00:00 {'diffuse_radiation': 55.0, 'direct_normal_radiation': 308.0}
Key:2015-01-09 15:00:00 {'diffuse_radiation': 28.0, 'direct_normal_radiation': 130.0}
Key:2015-01-09 16:00:00 {'diffuse_radiation': 6.0, 'direct_normal_radiation': 6.0}
Key:2015-01-09 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 09:00:00 {'diffuse_radiation': 15.0, 'direct_normal_radiation': 1.0}
Key:2015-01-10 10:00:00 {'diffuse_radiation': 24.0, 'direct_normal_radiation': 1.0}
Key:2015-01-10 11:00:00 {'diffuse_radiation': 36.0, 'direct_normal_radiation': 6.0}
Key:2015-01-10 12:00:00 {'diffuse_radiation': 61.0, 'direct_normal_radiation': 122.0}
Key:2015-01-10 13:00:00 {'diffuse_radiation': 79.0, 'direct_normal_radiation': 321.0}
Key:2015-01-10 14:00:00 {'diffuse_radiation': 74.0, 'direct_normal_radiation': 356.0}
Key:2015-01-10 15:00:00 {'diffuse_radiation': 44.0, 'direct_normal_radiation': 274.0}
Key:2015-01-10 16:00:00 {'diffuse_radiation': 12.0, 'direct_normal_radiation': 123.0}
Key:2015-01-10 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-10 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
